side.effect	targets	n.target	k.target.med	k.target.mean	n.drug
Dyskinesia	1128|1129|152|2904|59340|3274|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|6326|1565|147|151|5004|1133|1132|1131|1816|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|150|1557|5243|50632|1551|801|1576	42	6.500000	13.857143	100
Weight decreased	5159|152|6532|1814|1815|1816|1812|1813|3362|3363|9429|1565|3815|3354|3356|3350|3352|3358|1551|1559|5243|1576	22	7.000000	14.454545	213
Haematemesis	1557|1559|3352|9429|3354|5742|5743|3066|5139|134	10	14.000000	32.800000	74
Diabetic coma	1128|1129|152|150|1814|1815|1816|1812|1813|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	26	7.000000	7.846154	5
Type 2 diabetes mellitus	1814|1815|1816|152|1812|1813|150|151|3357|3356|3351|3350|3352|3358	14	7.500000	9.785714	5
Dyspnoea	1551|153|1633|1812|1559|54600|54658|5243|1565|9429|3351|3352|1576	13	7.000000	8.538462	445
Breast enlargement	1128|150|152|155|6532|6530|6531|1814|1544|1812|1813|3362|3363|1565|146|6581|6580|5004|1133|1132|1816|148|3356|3350|3352|3269|3358|1551|1557|1559|1558|4914|5241|5243|6462|1576	36	7.000000	12.444444	66
Orthostatic hypotension	1128|150|152|3757|6532|6530|1814|1815|1544|1812|1813|6559|3362|3363|1565|775|147|151|776|5004|1133|1132|1131|1816|148|3354|3357|3356|146|3350|3352|3269|3359|3358|1551|1636|783|5243|3351|1576	40	6.000000	8.200000	192
Parkinsonian rest tremor	1814|1815|151|152|1812|1813|150|148|147|3356|3350|3352|3269|801|3358	15	10.000000	22.733333	6
Cardiac arrest	1551|1812|1813|5243|1565|6336|6331|4986|4988|1576	10	11.500000	11.800000	163
Embolism venous	150|152|2908|2099|1814|1815|1588|1545|1812|1813|6579|3362|3363|147|1816|3354|3356|3352|3269|3359|3358|1551|10928|6462|5243|2100|1576	27	12.000000	33.481481	46
Angioedema	1551|1544|1636|1557|1559|1558|5243|1565|5742|5743|10599|1576	12	9.500000	12.916667	337
Sinus tachycardia	1128|1129|5139|1133|1132|1131|7153|135|3356|3066|6530|134|100|3358|136	15	10.000000	29.133333	35
Liver injury	7498|2898|1559|2891|1544|1576|3615	7	19.000000	17.142857	96
Polycythaemia	3614|3615|2280|6462|54577|367	6	26.500000	54.666667	18
Pathological gambling	1814|1644|1816|152|1812|1815|150|1813|151|3363|3357|3356|3351|3350|3352|3358	16	7.500000	10.375000	11
Hepatic enzyme increased	1815|1544|1557|54575|1559|54600|1565|3354|5742|5468|3359|1576	12	9.500000	17.333333	109
Extravasation	2944|1545|7155|6647|7153|7150|9429|540|203068|8714|6582|7298|1318|5460|4502|2950|1728|5447|5243|1579|1244|8647|2356|4489|538	25	9.000000	31.680000	63
Dental caries	1128|1129|1816|152|1812|5004|1133|1132|1131|1813|3362|3363|3354|147|3356|6532|6530|6531|3269|1565|3358	21	6.000000	7.190476	34
Lymphadenitis	1128|1129|152|155|5004|1133|1132|1131|1813|1565|148|3363|3356|146|3362|6530|6531|3269|6532|3358|3350	21	6.000000	7.190476	11
Constipation	1128|1129|152|59340|6532|6530|6531|1814|1815|1816|1812|1813|3362|3363|4986|4988|1565|147|151|5004|1133|1132|1131|54658|3354|3357|3356|3351|3350|3352|3269|3358|1551|1636|1557|1559|1558|5243|1576	39	7.000000	8.256410	455
Dermatitis bullous	1551|1559|1558|7153|1548|1565|9429|5243|6257|1576|1244	11	7.000000	20.636364	150
Pleurisy	1815|1816|3357|3351|3350|3352	6	6.500000	6.666667	20
Delusion	1128|1129|152|155|150|706|59340|3269|6532|2567|6530|6531|5243|3363|116443|2569|1815|1544|1812|1813|2561|2560|2563|2565|1557|3362|2566|1565|146|147|151|5004|1133|1132|1131|1816|148|3354|3357|3356|3351|3350|3352|6529|3359|3358|4759|2554|2555|2556|2570|1814|1571|1576	54	7.500000	8.851852	76
Haemoglobin	1551|213|3815|1559|54600|9429|5743|6240|64805	9	7.000000	32.777778	242
Gait disturbance	152|2904|6532|1814|1815|1544|1812|1813|7153|873|3362|3363|1565|1816|148|3354|3356|3351|3350|3352|3358|1551|5243|1576	24	8.500000	15.583333	103
Inappropriate antidiuretic hormone secretion	1128|1129|152|2904|6532|3066|6530|6531|1814|1815|1544|1812|1813|3362|203068|1562|1565|146|147|5004|1133|1132|1131|3758|148|3356|3350|3352|3269|3358|150|1557|1559|5243|1576|6833	36	8.500000	21.388889	59
Memory impairment	2554|2555|2556|1559|2560|706|7364|1557|3156|1558|1576	11	12.000000	12.909091	77
Parkinson's disease	1814|1815|1816|152|1812|1813|1133|1132|151|147|148|3363|3354|3357|3356|3351|3350|3352|150|3358	20	7.000000	8.300000	9
Drug interaction	1551|1557|1559|1558|5243|1565|9429|4985|1244|4988|1576	11	7.000000	12.363636	97
Ureteral spasm	4988|7363|4985|1565|4986	5	21.000000	15.400000	6
Ear pain	1551|1559|3351|1576|3352	5	7.000000	7.800000	135
Laryngospasm	153|154|4535|4985|4988|1565	6	23.500000	29.666667	80
Hypoaesthesia	1128|1129|152|6532|6530|1544|3362|3363|9429|1562|1565|146|147|5004|1133|1132|1131|3354|3356|3351|3350|3352|3269|3358|1551|1557|1559|1558|5243|6331|1576	31	6.000000	8.516129	246
Uterine rupture	5734|6578|5733|28232|5732	5	3.000000	7.800000	4
Pulmonary embolism	1814|1815|1545|5739|2328|316|5243|9429|3354|3352|1551|2100|2099|1576	14	9.500000	35.928571	110
Drug dependence	4986|5243|4985|6532|6530|6531|4988|1565	8	7.500000	11.625000	24
Infarction	2322|2321|3791|1636|2324	5	15.000000	21.800000	14
Gastrointestinal pain	1551|6565|7153|7364|1565|9429|1559|1558|1576	9	7.000000	18.333333	477
Buccoglossal syndrome	1128|1129|152|150|1814|1815|1816|1812|1813|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	26	7.000000	7.846154	6
Female sexual dysfunction	1128|6532|6530|1557|1565	5	6.000000	9.200000	9
Nervousness	1128|146|1544|2554|2555|1557|1558|1559|2560|706|2556|148|2566|6532|5243|6531|3269|1576|1565	19	8.000000	11.210526	314
Blood triglycerides increased	1551|1559|1576|5243|1565	5	7.000000	8.800000	63
Cushing's syndrome	2280|2908|3614|3615|54577	5	23.000000	50.800000	17
Pharyngitis	1551|1636|1559|1558|5243|9429|185|1576	8	7.000000	10.375000	264
Vomiting	1551|1544|213|1557|1559|1558|5243|1565|9429|1244|1576|9356	12	7.000000	23.833333	660
Discomfort	1551|1557|1559|1558|7364|54658|1548|1565|9429|5243|1576	11	7.000000	10.181818	377
Cystitis noninfective	1557|1559|1558|1565|5743|1576	6	9.500000	13.166667	114
Tumour lysis syndrome	5159|25|1633|3815|5422|9429|6240|5156|1436	9	36.000000	66.333333	21
Deep vein thrombosis	1814|1815|1545|2328|5243|9429|3354|1551|1576	9	7.000000	10.444444	61
Ventricular fibrillation	1128|1129|152|3751|3752|3757|1544|1813|1562|1565|6583|5004|1133|1132|1131|3355|3356|3351|3350|3352|5243|6331	22	7.000000	9.318182	78
Thrombosis	1551|25|1544|1545|1543|3815|6462|5243|9429|5159|2099|1576	12	30.500000	78.083333	63
Hypersexuality	1814|1644|1816|152|1812|1815|150|1813|151|3363|3357|3356|3351|3350|3352|3358	16	7.500000	10.375000	11
Epidermal necrosis	1559|1558|54600|7364|54575|5742|5743	7	18.000000	14.714286	9
Dysgeusia	1128|1551|1544|1557|5004|1133|1565|1131|7153|5243|1576|9429|1559|6532|3352|3358	16	6.500000	15.312500	287
Herpes zoster	3614|1557|1559|1565|9429|1576	6	8.000000	10.500000	76
Tardive dyskinesia	1128|1129|152|150|59340|3274|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|1565|147|151|5004|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|1557|1559|5243|1571|801|1576	39	7.000000	13.384615	36
Hallucination	1128|1129|152|155|2565|54600|5742|6532|3362|6530|6531|116444|3363|2569|1815|1544|1813|2561|2560|2563|2562|7364|1557|2567|2566|4985|4986|4988|1562|706|151|5004|1133|1132|1131|1816|10280|5243|3357|3356|3351|3350|3352|3269|3358|1551|2554|2555|2556|2557|1559|2559|2570|1565|54576|7363|1576	57	7.000000	9.964912	259
Faecal incontinence	1814|1815|152|1812|1813|3356|3352	7	11.000000	11.714286	45
Intraocular pressure increased	1128|1129|1131|2908|1132	5	10.000000	44.200000	39
Glossitis	1551|9356|1559|1558|54600|7364|5742|5743|1576	9	7.000000	10.888889	101
Photosensitivity reaction	1551|6833|1544|1557|1812|1813|1559|1558|1565|5742|5743|1636|1576|3356|9356	15	11.000000	12.933333	229
Hypersomnia	1128|151|152|150|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|1565|147|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1576	31	7.000000	8.290323	21
Choreoathetosis	1128|1129|152|150|6532|6530|6531|1814|1815|1816|1812|1813|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	29	7.000000	7.724138	20
Neutropenic sepsis	1806|7155|978|9429|81027|1890	6	14.500000	40.333333	12
Somnolence	1128|1129|152|150|54600|1548|6532|3362|6530|801|5243|3363|2569|1815|1544|1812|1813|2560|2563|2562|2565|1557|2567|2566|4985|4986|4988|1562|706|146|147|151|5004|1133|1132|1131|1816|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|1551|2554|2555|2556|2557|1559|2559|2570|1565|1814|1571|1576	59	7.000000	12.050847	460
Renal impairment	1551|4831|3614|213|6565|1558|7364|54658|5243|9429|1559|5742|5743|4830|1244|185|9356	17	9.000000	26.235294	143
Drug abuse	4988|4985|1565|6530|4986	5	7.000000	12.400000	25
Paranoia	1128|1129|1268|2904|152|6532|6530|1814|1815|1544|1812|1813|3362|3363|4986|1565|151|1133|1132|1131|1816|148|3354|3356|3350|3352|3269|150|2903|3359|3358|2550|1576	33	7.000000	10.696970	67
Hepatitis	213|7153|196|59340|3274|5743|6532|1548|1544|1543|7364|3362|9429|1565|9356|5004|54658|5468|3358|1551|1557|1559|1558|5742|5243|1244|1576	27	7.000000	23.185185	266
Neutropenia	1633|9356|1636|3815|6565|54600|7153|5243|9429|6240	10	10.500000	23.400000	206
Apnoea	1139|3614|2898|2891|1137|316|6326|6336|2554|4985|6331|4986|4988	13	13.000000	13.307692	82
Tongue oedema	151|152|706|1814|1815|1544|1812|1813|3362|3363|1565|1132|1816|3354|3356|3351|3350|3352|3359|3358|1551|2554|1557|1559|1576	25	7.000000	9.200000	54
Sensory loss	1128|1129|152|3751|3752|59340|6532|6530|1544|1813|3362|3363|203068|146|147|5004|1133|1132|1131|148|3355|3356|3351|3350|3352|3269|3358|5243|6331	29	7.000000	14.965517	85
Blood cholesterol increased	1814|1815|152|1557|1812|1565|6462|3352|148|1576|3356|6532|6530|6531|3269|1551|3358	17	8.000000	12.058824	32
Body temperature decreased	151|1129|152|2904|116443|1814|1815|1544|1812|1813|873|3362|3363|4985|1565|147|1133|1132|1131|1816|3354|3356|3351|3350|3352|150|3359|3358|1551|2554|1557|1576	32	9.500000	11.875000	52
Back pain	1551|1559|7153|9429|1244|10599|1576	7	6.000000	19.571429	298
Neurotoxicity	1633|1728|4502|5422|7298|6647|6336|978|9429|540|203068|8714|1244|2030|6240|1318|2950|4489|538	19	9.000000	24.210526	30
Cellulitis	9429|978|1633|3614|2030	5	9.000000	10.600000	82
Ill-defined disorder	1551|1557|1559|1558|7364|54658|1548|1565|9429|5742|5243|7153|1576	13	7.000000	17.846154	339
Hyperinsulinism	1814|1815|151|152|1812|147|3356|3350|3352|3358	10	8.500000	9.200000	6
Sudden death	1128|1129|152|2904|3757|1814|1815|1816|1812|1813|3362|3363|1565|146|147|151|1133|1132|1131|148|3354|3356|3350|3352|3269|3359|3358|150|1806|5243|1571	31	7.000000	9.612903	47
Extrasystoles	1544|3614|6530|1559|54600|6531|5141|135|6532|5139|134|1565	12	8.500000	11.750000	84
Extrapyramidal disorder	1128|1129|152|155|2904|3757|59340|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|1562|1565|146|147|151|5004|1133|1132|1131|1816|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|150|1557|1559|5243|6331|1551|801|1576	45	7.000000	13.933333	84
Nasopharyngitis	1814|1815|151|1803|1812|1565|4985|1551|1576	9	11.000000	11.222222	172
Acute coronary syndrome	1551|1544|1545|1636|3815|1559|6579|7153|5243|9429|5742|5743|6532|1244|6530|3352|3351|10599|1576	19	7.000000	18.789474	226
Eosinophilia	1544|213|1812|1813|1559|1132|1133|1557|3362|3363|59340|3354|3356|1565|240|6565|9356|3358|3350	19	7.000000	17.842105	188
Movement disorder	1128|151|152|150|6532|1814|1815|1816|1812|1813|3363|6326|1565|147|148|3354|3356|3351|3350|3352|3269|3359|3358|1551	24	6.500000	7.916667	29
Diabetic ketoacidosis	151|1129|152|150|1814|1815|1816|1812|1813|3362|3363|1565|147|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	25	7.000000	8.040000	8
Aplastic anaemia	6833|3758|768|771|213|1557|6584|762|1559|760|7364|54575|5742|5743|6565|759|55867|9356	18	9.000000	19.333333	124
Eczema	1559|3354|5159|1576|3815	5	12.000000	35.000000	138
Vaginal haemorrhage	1551|1544|1557|1559|5241|2100|2099|1576	8	29.000000	63.875000	74
